                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.40042,                0.43743,                0.58726,                0.97687,                0.85486,                0.95117,                0.96649,                0.93908,                0.85454,                0.95079,                0.96642,                0.94636,                 0.2645,                0.32191,                 0.5365,                0.83676,             0.00055549,             0.00055549,             0.00055549
                      2,                0.35076,                0.35524,                0.41714,                0.94755,                0.97551,                0.97444,                0.99267,                0.98986,                0.97551,                0.97444,                0.99267,                0.99194,                0.17909,                0.13671,                0.32697,                0.74432,              0.0010195,              0.0010195,              0.0010195
                      3,                0.27317,                0.26967,                0.39104,                0.94808,                0.99281,                0.98455,                0.99472,                0.99301,                0.99281,                0.98455,                0.99472,                0.99462,                0.16495,                0.12851,                0.20176,                0.72898,              0.0013918,              0.0013918,              0.0013918
                      4,                0.22474,                0.23163,                0.29988,                0.91194,                0.99621,                0.99258,                  0.995,                0.99437,                0.99621,                0.99258,                  0.995,                0.99414,                0.15398,                0.12584,                0.16683,                0.72172,              0.0012544,              0.0012544,              0.0012544
                      5,                0.19625,                0.19778,                0.25156,                0.89043,                0.99947,                0.99962,                  0.995,                0.99485,                0.99947,                0.99962,                  0.995,                0.99485,                 0.1201,                0.11866,                0.12791,                0.69224,              0.0011169,              0.0011169,              0.0011169
                      6,                 0.1807,                0.18626,                0.22564,                0.87805,                0.98865,                 0.9954,                0.99497,                0.99495,                0.98865,                 0.9954,                0.99497,                0.99497,                0.10765,                0.11146,                0.12372,                0.68622,             0.00097936,             0.00097936,             0.00097936
                      7,                0.16216,                0.18182,                0.19806,                0.86606,                0.99945,                0.99846,                  0.995,                0.99483,                0.99945,                0.99846,                  0.995,                0.99479,                0.09819,                0.10604,                0.10573,                0.68167,             0.00084184,             0.00084184,             0.00084184
                      8,                0.14909,                0.17472,                0.17948,                0.85938,                 0.9995,                0.99947,                  0.995,                0.99496,                 0.9995,                0.99947,                  0.995,                0.99492,                0.09507,                0.10402,                0.09354,                0.67723,             0.00070431,             0.00070431,             0.00070431
                      9,                 0.1345,                0.16458,                0.16037,                0.85397,                0.99985,                0.99962,                  0.995,                0.99496,                0.99985,                0.99962,                  0.995,                  0.995,                0.08391,                0.10395,                 0.0908,                0.67149,             0.00056678,             0.00056678,             0.00056678
                     10,                0.12246,                0.16673,                0.13725,                0.84668,                0.99979,                0.99962,                  0.995,                  0.995,                0.99979,                0.99962,                  0.995,                  0.995,                0.08067,                0.10016,                0.08435,                 0.6697,             0.00042925,             0.00042925,             0.00042925
                     11,                0.10973,                0.15011,                0.11849,                0.84235,                0.99991,                0.99962,                  0.995,                  0.995,                0.99991,                0.99962,                  0.995,                  0.995,                0.07353,                0.09745,                0.07825,                0.66662,             0.00029172,             0.00029172,             0.00029172
                     12,                0.10038,                0.14445,                0.10927,                0.83751,                 0.9999,                0.99962,                  0.995,                  0.995,                 0.9999,                0.99962,                  0.995,                  0.995,                0.06894,                0.09678,                0.07179,                0.66386,              0.0001542,              0.0001542,              0.0001542
